Date,Open,High,Low,Close,Adj Close,Volume
2014-06-27,689.049988,674.909973,553.049988,553.049988,553.049988,36517
2014-06-28,527.590027,525.859985,518.940002,518.940002,518.940002,8365
2014-06-29,614.190002,634.659973,572.419983,572.419983,572.419983,83561
2014-06-30,597.780029,617.880005,561.440002,617.880005,617.880005,325968
2014-07-01,583.940002,590.809998,213.289993,235.190002,235.190002,57280
2014-07-02,239.479996,534.929993,514.349976,534.929993,534.929993,11543
2014-07-03,409.269989,505.529999,409.269989,505.529999,505.529999,11
2014-07-04,451.019989,350.399994,52.040001,350.399994,350.399994,480
2014-07-05,352.549988,433.529999,374.890015,374.890015,374.890015,54861
2014-07-06,386.640015,428.760010,394.559998,428.760010,428.760010,40800
2014-07-07,467.290009,451.209991,396.279999,451.209991,451.209991,4160
2014-07-08,423.940002,460.809998,442.369995,460.809998,460.809998,11197
2014-07-09,480.589996,480.589996,480.589996,480.589996,480.589996,10548
2014-07-10,439.179993,428.640015,421.609985,428.640015,428.640015,9434
2014-07-11,489.709991,546.299988,498.540009,546.299988,546.299988,36181
2014-07-12,543.380005,555.750000,542.179993,555.750000,555.750000,21357
2014-07-13,523.880005,596.109985,515.940002,596.109985,596.109985,3755
2014-07-14,581.989990,581.989990,503.720001,503.720001,503.720001,154
2014-07-15,531.739990,534.799988,477.500000,477.500000,477.500000,5858
2014-07-16,515.679993,547.419983,440.320007,547.419983,547.419983,4494
2014-07-17,513.929993,521.380005,513.929993,521.380005,521.380005,106
2014-07-18,503.250000,583.770020,559.609985,583.770020,583.770020,1914
2014-07-19,507.839996,507.839996,460.380005,460.380005,460.380005,1666
2014-07-20,475.799988,524.840027,475.799988,475.799988,475.799988,9206
2014-07-21,570.869995,543.309998,492.130005,543.309998,543.309998,135148
2014-07-22,561.890015,562.669983,522.590027,550.099976,550.099976,326
2014-07-23,496.799988,496.799988,493.200012,493.200012,493.200012,129751
2014-07-24,526.919983,547.309998,506.540009,506.540009,506.540009,18503
2014-07-25,466.470001,478.160004,439.190002,439.190002,439.190002,4062
2014-07-26,451.920013,503.459991,446.540009,502.309998,502.309998,1426
2014-07-27,450.040009,460.920013,453.670013,460.920013,460.920013,6586
2014-07-28,435.290009,435.290009,431.859985,431.859985,431.859985,29694
2014-07-29,450.809998,454.380005,450.809998,454.380005,454.380005,26990
2014-07-30,460.500000,460.140015,456.510010,456.510010,456.510010,156016
2014-07-31,457.010010,484.239990,450.109985,484.239990,484.239990,8900
2014-08-01,482.279999,460.589996,456.970001,460.230011,460.230011,1817
2014-08-02,483.420013,489.489990,479.239990,483.420013,483.420013,19138
2014-08-03,492.649994,513.539978,491.869995,510.839996,510.839996,5328
2014-08-04,469.920013,460.660004,449.630005,449.630005,449.630005,1690
2014-08-05,488.709991,486.769989,480.200012,480.970001,480.970001,33432
2014-08-06,435.450012,444.559998,420.390015,420.390015,420.390015,94003
2014-08-07,472.440002,507.869995,472.440002,507.869995,507.869995,7252
2014-08-08,500.269989,465.369995,449.850006,449.850006,449.850006,11237
2014-08-09,455.500000,506.540009,471.200012,471.200012,471.200012,51195
2014-08-10,464.989990,480.880005,388.649994,390.200012,390.200012,74247
2014-08-11,357.489990,401.149994,351.950012,351.950012,351.950012,56421
2014-08-12,364.040009,382.989990,362.899994,382.989990,382.989990,88248
2014-08-13,322.570007,350.089996,286.540009,286.540009,286.540009,911
2014-08-14,320.959991,358.890015,345.380005,351.959991,351.959991,14792
2014-08-15,348.029999,404.660004,348.029999,348.390015,348.390015,376
2014-08-16,314.309998,307.510010,284.609985,284.609985,284.609985,14372
2014-08-17,294.869995,331.410004,177.399994,273.589996,273.589996,112891
2014-08-18,247.539993,305.660004,264.970001,305.660004,305.660004,5388
2014-08-19,336.049988,359.320007,288.290009,359.320007,359.320007,37045
2014-08-20,361.489990,352.829987,352.510010,352.829987,352.829987,10623
2014-08-21,349.709991,322.369995,301.130005,301.130005,301.130005,16516
